id;miejsce;id_zawodnika;wynik_I_serii;wynik_II_serii;nota;id_zawodow
1;1;197;128,00;118,50;244,20;1
2;2;63;120,00;116,50;222,20;1
3;3;236;116,00;117,50;213,80;1
4;4;68;109,00;121,50;213,40;1
5;5;85;115,50;116,50;210,60;1
6;6;132;118,50;110,00;210,30;1
7;7;176;118,00;107,00;201,00;1
8;8;22;114,00;110,50;199,10;1
9;9;240;108,50;116,50;197,50;1
10;10;104;110,50;112,50;196,40;1
11;11;208;111,50;110,50;196,10;1
12;12;135;113,50;108,50;194,60;1
13;13;113;115,50;107,50;193,90;1
14;14;165;110,50;105,50;186,80;1
15;15;82;114,50;103,50;186,40;1
16;16;209;108,00;111,00;185,70;1
17;17;3;110,00;105,00;183,00;1
18;18;157;109,00;106,00;180,00;1
19;19;55;110,00;101,50;179,20;1
20;20;164;118,00;95,50;178,80;1
21;21;54;107,50;105,00;176,00;1
22;22;112;109,50;103,50;175,90;1
23;23;38;110,50;104,00;175,60;1
24;24;98;112,00;100,50;175,00;1
25;25;67;105,50;106,00;174,70;1
26;26;207;106,00;107,00;174,40;1
27;27;57;109,50;96,50;165,30;1
28;28;36;106,50;93,00;144,10;1
29;29;34;108,50;88,00;141,20;1
30;1;68;119,50;0,00;111,10;2
31;2;108;117,00;0,00;110,60;2
32;3;226;116,00;0,00;107,30;2
33;4;3;115,50;0,00;106,40;2
34;5;197;113,50;0,00;99,30;2
35;6;176;112,00;0,00;99,10;2
36;6;133;112,00;0,00;99,10;2
37;8;135;112,50;0,00;99,00;2
38;9;164;114,50;0,00;97,10;2
39;10;79;111,00;0,00;96,30;2
40;11;113;110,50;0,00;94,90;2
41;12;236;109,50;0,00;93,10;2
42;13;134;108,50;0,00;91,30;2
43;14;77;109,00;0,00;89,70;2
44;15;67;107,50;0,00;89,50;2
45;16;50;106,00;0,00;86,30;2
46;17;85;106,00;0,00;85,80;2
47;18;90;105,50;0,00;84,90;2
48;19;22;105,50;0,00;83,90;2
49;20;207;103,50;0,00;82,30;2
50;21;231;103,50;0,00;80,80;2
51;22;57;103,00;0,00;79,40;2
52;23;165;101,00;0,00;78,80;2
53;24;104;102,00;0,00;78,60;2
54;25;168;101,50;0,00;77,20;2
55;26;136;100,50;0,00;76,40;2
56;27;34;101,00;0,00;75,80;2
57;28;66;97,50;0,00;71,00;2
58;29;8;97,50;0,00;68,00;2
59;1;197;120,00;125,00;238,50;3
60;2;3;119,00;124,00;237,90;3
61;3;104;119,00;125,50;232,10;3
62;4;63;118,00;126,00;227,70;3
63;5;98;112,50;130,50;226,40;3
64;6;135;117,50;121,50;226,20;3
65;7;68;121,00;119,00;221,50;3
66;8;231;113,50;115,50;204,20;3
67;9;134;110,00;117,00;204,10;3
68;10;77;112,00;118,00;203,00;3
69;11;136;109,00;117,00;199,30;3
70;12;176;107,50;114,50;191,10;3
71;13;66;113,50;110,50;190,70;3
72;14;90;112,50;112,50;190,00;3
73;15;208;105,00;116,00;186,80;3
74;16;85;103,00;117,50;184,90;3
75;17;92;104,00;114,50;183,80;3
76;18;108;116,50;96,50;177,40;3
77;19;36;105,50;109,50;176,50;3
