id_zawodnika;nazwisko_i_imie;panstwo
1;AAGHEIM Morten;Norwegia
2;AARAAS Jon;Norwegia
3;AHONEN Janne;Finlandia
4;ALBORN Alan;USA
5;AMMANN Simon;Szwajcaria
6;ANISIMOV Maksim;Bialorus
7;AREN Andreas;Szwecja
8;AUDENRIETH Roland;Niemcy
9;BACHLEDA Marcin;Polska
10;BADER Ferdinand;Niemcy
11;BARDAL Anders;Norwegia
12;BAUMGARTNER Andreas;Austria
13;BENKOVIC Rok;Slowenia
14;BODMER Pascal;Niemcy
15;BOGATAJ Jure;Slowenia
16;BOGNER Tobias;Niemcy
17;BOSHCHUK Volodymyr;Ukraina
18;BRACHT Kai;Niemcy
19;BRENDEN Kristian;Norwegia
20;BRUDER Christian;Niemcy
21;BYSTOEL Lars;Norwegia
22;CECON Roberto;Wlochy
23;CHAADAEV Petr;Bialorus
24;CHEDAL Emmanuel;Francja
25;CHIAPOLINO Stefano;Wlochy
26;CHOI Heung-Chul;Korea
27;CHOI Yong-Jik;Korea
28;CIKL Martin;Czechy
29;COLLOREDO Sebastian;Wlochy
30;DAMJAN Anze;Slowenia
31;DAMJAN Jernej;Slowenia
32;DELLASEGA Roberto;Wlochy
33;DESCOMBES SEVOIE Vincent;Francja
34;DESSUM Nicolas;Francja
35;DLUGOPOLSKI Krystian;Polska
36;DOENNEM Olav Magne;Norwegia
37;DOLEZAL Michal;Czechy
38;DUFFNER Christof;Niemcy
39;EGGENHOFER Markus;Austria
40;ELSE Dirk;Niemcy
41;ENGER Ole Christen;Norwegia
42;ERIKSON Johan;Szwecja
43;EVENSEN Johan Remen;Norwegia
44;FAIRALL Nicholas;USA
45;FANNEMEL Anders;Norwegia
46;FATCHULLIN Ildar;Rosja
47;FETTNER Manuel;Austria
48;FILIMONOV Stanislav;Kazachstan
49;FORFANG Daniel;Norwegia
50;FRAS Damjan;Slowenia
51;FREIHOLZ Sylvain;Szwajcaria
52;FREITAG Richard;Niemcy
53;FREUND Severin;Niemcy
54;FUKITA Yukitaka;Japonia
55;FUNAKI Kazuyoshi;Japonia
56;GANGNES Kenneth;Norwegia
57;GOLDBERGER Andreas;Austria
