id_zawodow;data;nazwa_skoczni;sezon
1;2000-11-24;Kuopio;2000/2001
2;2000-12-2;Kuopio;2000/2001
3;2000-12-3;Kuopio;2000/2001
4;2000-12-29;Oberstdorf;2000/2001
5;2001-1-1;Garmisch-Partenkirchen;2000/2001
6;2001-1-4;Innsbruck;2000/2001
7;2001-1-6;Bischofshofen;2000/2001
8;2001-1-13;Harrachov;2000/2001
9;2001-1-14;Harrachov;2000/2001
10;2001-1-20;Park City;2000/2001
11;2001-1-24;Hakuba;2000/2001
12;2001-1-27;Sapporo;2000/2001
13;2001-1-28;Sapporo;2000/2001
14;2001-2-3;Willingen;2000/2001
15;2001-2-4;Willingen;2000/2001
16;2001-3-3;Oberstdorf (loty);2000/2001
17;2001-3-4;Oberstdorf (loty);2000/2001
18;2001-3-7;Falun;2000/2001
19;2001-3-9;Trondheim;2000/2001
20;2001-3-11;Oslo;2000/2001
21;2001-3-18;Planica;2000/2001
22;2001-11-23;Kuopio;2001/2002
23;2001-11-24;Kuopio;2001/2002
24;2001-12-1;Neustadt;2001/2002
25;2001-12-2;Neustadt;2001/2002
26;2001-12-8;Villach;2001/2002
27;2001-12-15;Engelberg;2001/2002
28;2001-12-16;Engelberg;2001/2002
29;2001-12-21;Val di Fiemme;2001/2002
30;2001-12-22;Val di Fiemme;2001/2002
31;2001-12-30;Oberstdorf;2001/2002
32;2002-1-1;Garmisch-Partenkirchen;2001/2002
33;2002-1-4;Innsbruck;2001/2002
34;2002-1-6;Bischofshofen;2001/2002
35;2002-1-12;Willingen;2001/2002
36;2002-1-19;Zakopane;2001/2002
37;2002-1-20;Zakopane;2001/2002
38;2002-1-24;Hakuba;2001/2002
39;2002-1-26;Sapporo;2001/2002
40;2002-3-1;Lahti;2001/2002
41;2002-3-13;Falun;2001/2002
42;2002-3-15;Trondheim;2001/2002
43;2002-3-17;Oslo;2001/2002
44;2002-11-29;Kuusamo;2002/2003
45;2002-11-30;Kuusamo;2002/2003
46;2002-12-7;Trondheim;2002/2003
47;2002-12-8;Trondheim;2002/2003
48;2002-12-14;Neustadt;2002/2003
49;2002-12-15;Neustadt;2002/2003
50;2002-12-21;Engelberg;2002/2003
51;2002-12-22;Engelberg;2002/2003
52;2002-12-29;Oberstdorf;2002/2003
53;2003-1-1;Garmisch-Partenkirchen;2002/2003
54;2003-1-4;Innsbruck;2002/2003
55;2003-1-6;Bischofshofen;2002/2003
56;2003-1-11;Liberec;2002/2003
