ID_obrazu	Tytul	ID_malarza	ID_oddzialu	Stan
1	Kazanie Skargi	1	1	ekspozycja czasowa
2	Konrad Wallenrod	1	1	ekspozycja stala
3	Stanczyk w czasie balu	1	3	ekspozycja czasowa
4	Astornom Kopernik	1	2	w magazynie
5	Batory pod Pskowem	1	3	w magazynie
6	Unia Lubelska	1	2	ekspozycja stala
7	Hold pruski	1	3	wypozyczony
8	Sobieski pod Wiedniem	1	1	ekspozycja stala
9	Wernyhora	1	3	ekspozycja stala
10	smierc Zygmunta Augusta	1	1	w magazynie
11	Bitwa pod Raclawicami	1	4	ekspozycja stala
12	Konstytucja 3 maja 1791 roku	1	3	ekspozycja stala
13	sluby Jana Kazimierza	1	3	ekspozycja czasowa
14	Bitwa pod Grunwaldem	1	3	ekspozycja stala
15	Chrzest Litwy	1	2	ekspozycja stala
16	Bitwa pod Pskowem	1	2	wypozyczony
17	Traktat chocimski	2	4	ekspozycja stala
18	Sobieski pod Wiedniem	2	2	w magazynie
19	Hold pruski	2	3	ekspozycja czasowa
20	Unia lubelska	2	3	w magazynie
21	Krol Wladyslaw Jagiello	2	3	ekspozycja stala
22	Stanislaw Poniatowski z zona	2	3	ekspozycja czasowa
23	Portret Stanislawa Augusta	2	4	ekspozycja stala
24	Autoportret w konfederatce	2	1	wypozyczony
25	Stanislaw August w stroju koronacyjnym	2	1	ekspozycja czasowa
26	Kolumna Zygmunta III	3	5	ekspozycja stala
27	Widok Warszawy od strony Pragi	3	1	ekspozycja stala
28	Krakowskie Przedmiescie od strony Nowego swiatu	3	1	w magazynie
29	Widok lak wilanowskich	3	4	ekspozycja stala
30	Elekcja Stanislawa Augusta	3	1	ekspozycja stala
31	Ulica Dluga	3	3	ekspozycja czasowa
32	Ulica Miodowa	3	2	ekspozycja czasowa
33	Zabudowania miejskie	4	2	ekspozycja czasowa
34	Portret kobiety	4	3	ekspozycja czasowa
35	Imieniny babuni	4	3	ekspozycja stala
36	Japonka	4	3	ekspozycja stala
37	Kwiaciarki	4	1	ekspozycja stala
38	Bretonka	4	4	w magazynie
39	W oranzerii	4	1	ekspozycja stala
40	Srebrzysta dziewczynka	4	5	ekspozycja stala
41	Macierzynstwo	4	1	wypozyczony
42	Kwiaty na tarasie	4	5	ekspozycja stala
43	Martwa natura z kwiatami	4	1	ekspozycja czasowa
44	Roze w wazonie	4	5	ekspozycja stala
45	W ogrodku	5	4	ekspozycja czasowa
46	Rankiem w puszczy	5	2	ekspozycja czasowa
47	Odlot zurawi	5	2	ekspozycja stala
48	Czworka w zaspach	5	2	ekspozycja stala
49	Zjazd na polowanie	5	3	ekspozycja stala
50	Babie lato	5	3	w magazynie
51	Trojka na sniegu	5	3	w magazynie
52	Jesien	5	4	ekspozycja stala
53	Kazimierz Pulaski pod Czestochowa	5	3	ekspozycja stala
54	Powstancy na postoju	5	1	ekspozycja czasowa
55	Pod karczma	5	3	ekspozycja czasowa
56	Oberek	5	1	wypozyczony
57	Kulig	5	1	ekspozycja stala
58	Plebania w Wyszatycach	6	4	ekspozycja stala
59	Zbieranie chmielu	6	1	wypozyczony
60	Na statku	6	1	ekspozycja stala
61	Polowanie na kaczki	6	1	ekspozycja czasowa
62	switez	6	5	ekspozycja stala
63	Powrot z niedzwiedziem	6	2	ekspozycja stala
64	Widok Krakowa	6	5	w magazynie
65	Krakowianki przed lustrem	6	1	w magazynie
66	snieg	6	2	ekspozycja stala
67	Cmentarz w Leoben	6	3	wypozyczony
68	Spalony las w Tatrach	6	3	ekspozycja stala
69	Hamlet	7	3	ekspozycja stala
70	Austeria rzymska	7	2	w magazynie
71	Altana	7	4	w magazynie
72	Begonie	7	1	w magazynie
73	Fontanna	7	3	ekspozycja czasowa
74	zydowka z cytrynami	7	1	wypozyczony
75	W altanie	7	4	ekspozycja stala
76	Uliczka w Cervarze	7	1	ekspozycja stala
77	Piaskarze	7	1	ekspozycja czasowa
78	Morze	7	1	ekspozycja stala
79	Luwr noca	7	3	ekspozycja czasowa
80	Ogrody w Tivoli	7	2	ekspozycja stala
81	Krajobraz lesny	8	5	ekspozycja stala
82	Potyczka z Tatarami	8	1	w magazynie
83	Oboz Cyganow	8	5	ekspozycja stala
84	Jablon nad potokiem	8	3	ekspozycja stala
85	Zwiad kozakow kubanskich	8	3	wypozyczony
86	Krajobraz jesienny	8	2	ekspozycja stala
87	Patrol polski w 1830 roku	8	3	ekspozycja czasowa
88	Scena powstancza w nocy	8	2	ekspozycja stala
89	Droga wsrod drzew	8	2	ekspozycja czasowa
90	Wyjazd na polowanie	8	4	ekspozycja czasowa
91	Polowanie w lesie	8	5	ekspozycja stala
92	Noc	8	3	w magazynie
93	Poscig ulanow za bolszewikami	9	1	ekspozycja stala
94	Idzie ulan borem lasem	9	3	ekspozycja czasowa
95	Bieg mysliwych z psami za jeleniem	9	3	ekspozycja stala
96	Powrot spod Moskwy	9	5	ekspozycja stala
97	Cud nad Wisla 15 sierpnia 1920 roku	9	3	ekspozycja stala
98	Poscig ulanow krechowieckich za bolszewikami	9	4	wypozyczony
99	smierc ksiedza Ignacego Skorupki pod Ossowem	9	3	wypozyczony
100	Pogon ulanow za bolszewikami	9	2	ekspozycja stala
101	Wesele goralskie	9	1	ekspozycja stala
102	Potyczka	9	5	ekspozycja czasowa
103	Polowanie w Poturzycy	10	5	ekspozycja stala
104	Polowanie na lisa	10	1	ekspozycja stala
105	Lisowczyk	10	5	ekspozycja stala
106	Pejzaz z krowami	10	4	wypozyczony
107	Kozacy donscy	10	1	ekspozycja stala
108	Portret Tadeusza Kosciuszki	10	3	ekspozycja stala
109	Luzak ulanski	10	3	wypozyczony
110	Portret zony artysty	11	5	w magazynie
111	Panorama Raclawicka	11	2	ekspozycja stala
112	Huzar francuski na sniegu	11	2	ekspozycja stala
113	Szarza w wawozie Somosierry	11	3	ekspozycja stala
114	Wizja Napoleona	11	4	ekspozycja czasowa
115	Ulan i dziewczyna	11	1	ekspozycja stala
116	Grunwald	11	3	ekspozycja stala
117	Bratankowie	12	3	ekspozycja czasowa
118	Za pozno z pissnia	12	4	ekspozycja stala
119	Nadejscie zimy	12	2	ekspozycja stala
120	smierc Ellenai	12	5	wypozyczony
121	Opetany	12	2	ekspozycja stala
122	Wspomnienie mlodosci	12	1	wypozyczony
123	Sybiracy	12	5	ekspozycja stala
124	Po zniwie	12	1	w magazynie
125	Melancholia	12	1	ekspozycja stala
126	Bledne kolo	12	3	ekspozycja stala
127	Podroz na Wschod	12	5	ekspozycja stala
128	Artysta i muza	12	1	ekspozycja czasowa
129	Gorzki chleb	12	3	ekspozycja czasowa
130	Sploszony kon	12	3	ekspozycja stala
131	Wytchnienie	12	1	ekspozycja stala
132	Meduza	12	3	ekspozycja czasowa
133	Zmartwychwstanie	12	2	ekspozycja stala
134	Aniol i pastuszek	12	2	w magazynie
135	Aniol	12	4	ekspozycja stala
136	Smierc	12	1	wypozyczony
137	Portret Stanislawa Witkiewicza	12	5	ekspozycja stala
138	Bajki.Tryptyk	12	3	ekspozycja stala
139	Hamlet polski	12	3	ekspozycja stala
140	Rycerz i muza	12	1	ekspozycja stala
141	Do slawy	12	4	ekspozycja czasowa
142	Moja piesn	12	3	ekspozycja stala
143	Pokusa fortuny	12	5	ekspozycja stala
144	Zatruta studnia	12	1	w magazynie
145	Muzyka pol	12	2	w magazynie
146	Chwila tworzenia	12	1	w magazynie
147	Madonna	12	2	w magazynie
148	U studni	12	1	ekspozycja stala
149	Wiosna	12	1	wypozyczony
150	Zasluchana	12	1	ekspozycja stala
151	Smierc zwycieska	12	1	w magazynie
152	Polonia	12	3	ekspozycja czasowa
153	Jozef Pilsudski na kasztance	11	3	ekspozycja czasowa
154	Droga w Bronowicach	7	4	ekspozycja stala
155	Martwa natura z ostem, grzybami, jaszczurka, ptaszkiem i motylami	13	3	wypozyczony
156	Pejzaz lesny z wozem przejezdzajacym przez brod	14	3	wypozyczony
157	Oplakiwanie	15	3	ekspozycja stala
158	Vanitas (Kwiaty i drobne zwierzatka)	16	3	ekspozycja stala
159	Portret mlodej damy w stroju Diany	17	3	ekspozycja stala
160	Bitwa wojska kosciuszkowskiego z rosyjskim o przeprawe na rzece	18	3	wypozyczony
