id_rezerwacji	id_osoby	id_wycieczki	dorosli	dzieci
1	365	1071	2	1
2	502	246	3	0
3	265	575	2	1
4	501	187	1	1
5	28	153	2	0
6	116	756	2	2
7	213	60	2	0
8	425	578	4	1
9	273	1119	1	2
10	101	658	2	2
11	271	1005	1	0
12	190	407	2	2
13	419	1092	2	0
14	104	115	2	1
15	105	136	1	2
16	27	1002	2	1
17	92	346	2	0
18	219	330	2	1
19	157	656	2	0
20	42	985	1	2
21	441	906	4	0
22	64	195	1	0
23	488	340	3	0
24	95	671	2	1
25	229	363	2	4
26	262	148	3	0
27	252	342	3	0
28	7	229	2	4
29	444	448	2	1
30	410	521	4	2
31	497	277	2	0
32	429	555	2	2
33	433	1120	3	0
34	413	907	4	2
35	139	954	2	4
36	338	805	2	2
37	210	759	2	2
38	456	121	1	2
39	55	491	2	2
40	492	127	4	1
41	171	150	2	0
42	445	636	3	2
43	64	685	1	0
44	275	135	2	0
45	28	727	1	2
46	343	832	3	0
47	15	52	1	1
48	327	107	2	2
49	46	271	2	0
50	256	1022	1	0
51	350	729	1	0
52	114	468	2	0
53	298	609	3	1
54	532	1086	3	0
55	340	310	2	0
56	391	258	3	0
57	37	106	2	1
58	291	300	2	1
59	186	10	1	1
60	158	1028	2	1
61	473	425	1	0
62	290	680	2	2
63	47	666	2	2
64	237	538	2	1
65	200	892	2	2
66	471	745	4	1
67	237	158	2	4
68	498	393	3	2
69	176	355	2	0
70	134	911	2	2
71	456	401	1	0
72	73	1103	2	1
73	516	912	2	1
74	396	364	1	0
75	405	757	3	1
76	239	92	2	4
77	99	374	2	1
78	318	442	2	2
79	263	1040	2	0
80	292	876	1	2
81	213	699	2	0
82	117	533	2	1
83	84	169	2	2
84	70	790	2	1
85	389	577	1	0
86	220	188	2	1
87	409	331	1	1
88	419	458	2	2
89	112	426	2	1
90	2	234	1	1
91	268	593	2	0
92	337	51	3	2
93	121	1015	2	1
94	504	768	2	2
95	484	139	2	2
96	346	731	2	0
97	170	974	2	0
98	39	1104	1	1
99	355	218	3	2
100	60	863	1	0
101	182	186	2	0
102	250	501	1	0
103	96	99	2	0
104	489	978	3	1
105	460	1028	4	2
