id_wycieczki	kraj	miejsce	wylot	data_od	data_do	cena
1	Tunezja	Djerba	Krakow	2015-07-07	2015-07-21	1990
2	Grecja	Rodos	Poznan	2015-07-28	2015-08-11	3599
3	Turcja	Alanya	Warszawa	2015-07-24	2015-08-07	1879
4	Egipt	Hurgada	Wroclaw	2015-07-03	2015-07-10	1450
5	Tunezja	Djerba	Katowice	2015-08-02	2015-08-16	2190
6	Grecja	Kos	Gdansk	2015-06-29	2015-07-06	1870
7	Turcja	Belek	Warszawa	2015-07-07	2015-07-21	3109
8	Hiszpania	Teneryfa	Katowice	2015-07-12	2015-07-26	4299
9	Grecja	Kreta	Lodz	2015-06-27	2015-07-04	2150
10	Bulgaria	Sloneczny Brzeg	Katowice	2015-08-12	2015-08-26	1810
11	Maroko	Casablanca	Katowice	2015-07-07	2015-07-21	3349
12	Grecja	Kos	Warszawa	2015-07-25	2015-08-08	3490
13	Maroko	Casablanca	Wroclaw	2015-06-22	2015-07-06	3349
14	Bulgaria	Sveti Vlas	Gdansk	2015-07-05	2015-07-12	999
15	Turcja	Kemer	Katowice	2015-06-15	2015-06-22	1690
16	Grecja	Kreta	Krakow	2015-06-30	2015-07-07	2150
17	Turcja	Belek	Gdansk	2015-07-01	2015-07-08	1359
18	Maroko	Agadir	Poznan	2015-06-14	2015-06-21	2125
19	Egipt	Hurgada	Warszawa	2015-07-03	2015-07-10	1450
20	Egipt	Marsa Alam	Katowice	2015-07-29	2015-08-12	2750
21	Turcja	Belek	Krakow	2015-06-30	2015-07-07	1359
22	Grecja	Rodos	Warszawa	2015-06-25	2015-07-09	3299
23	Turcja	Antalya	Warszawa	2015-06-27	2015-07-04	1499
24	Bulgaria	Sveti Vlas	Lodz	2015-06-03	2015-06-10	950
25	Egipt	Sharm El Sheikh	Poznan	2015-07-25	2015-08-08	2790
26	Hiszpania	Majorka	Lodz	2015-06-30	2015-07-07	2250
27	Maroko	Casablanca	Warszawa	2015-07-03	2015-07-17	3349
28	Maroko	Agadir	Krakow	2015-07-01	2015-07-08	2125
29	Turcja	Alanya	Lodz	2015-07-21	2015-07-28	1079
30	Bulgaria	Sveti Vlas	Lodz	2015-06-10	2015-06-17	950
31	Tunezja	Djerba	Warszawa	2015-07-06	2015-07-20	1990
32	Tunezja	Nabeul	Wroclaw	2015-08-10	2015-08-17	1190
33	Tunezja	Mahdia	Katowice	2015-07-04	2015-07-11	1370
34	Tunezja	Hammamet	Gdansk	2015-07-01	2015-07-08	1390
35	Hiszpania	Majorka	Wroclaw	2015-07-04	2015-07-11	2250
36	Egipt	Sharm El Sheikh	Katowice	2015-06-25	2015-07-02	1490
37	Hiszpania	Fuerteventura	Warszawa	2015-07-02	2015-07-13	2770
38	Egipt	Hurgada	Wroclaw	2015-07-31	2015-08-14	2550
39	Maroko	Agadir	Gdansk	2015-06-26	2015-07-03	2125
40	Tunezja	Monastir	Lodz	2015-07-09	2015-07-16	1390
41	Hiszpania	Gran Canaria	Lodz	2015-07-15	2015-07-22	1999
42	Tunezja	Djerba	Warszawa	2015-07-20	2015-07-27	1190
43	Egipt	Marsa Alam	Gdansk	2015-07-24	2015-08-07	2990
44	Hiszpania	Teneryfa	Wroclaw	2015-07-06	2015-07-13	2599
45	Turcja	Kemer	Warszawa	2015-08-02	2015-08-16	3190
46	Tunezja	Monastir	Gdansk	2015-08-12	2015-08-26	2690
47	Egipt	Hurgada	Katowice	2015-07-23	2015-07-30	1520
48	Grecja	Kos	Wroclaw	2015-07-16	2015-07-30	3490
49	Hiszpania	Fuerteventura	Wroclaw	2015-07-02	2015-07-13	2770
50	Tunezja	Nabeul	Gdansk	2015-07-01	2015-07-08	1190
51	Hiszpania	Gran Canaria	Katowice	2015-07-07	2015-07-14	1999
52	Bulgaria	Sloneczny Brzeg	Wroclaw	2015-07-18	2015-07-28	1350
53	Bulgaria	Sloneczny Brzeg	Gdansk	2015-07-01	2015-07-08	1110
54	Hiszpania	Majorka	Gdansk	2015-06-22	2015-06-29	2250
55	Turcja	Side	Krakow	2015-07-02	2015-07-09	1260
56	Maroko	Casablanca	Wroclaw	2015-06-22	2015-06-29	1925
57	Egipt	Marsa Alam	Katowice	2015-07-08	2015-07-15	1590
58	Maroko	Agadir	Katowice	2015-06-22	2015-06-29	2125
59	Bulgaria	Sveti Vlas	Katowice	2015-07-07	2015-07-14	950
60	Bulgaria	Sloneczny Brzeg	Krakow	2015-07-02	2015-07-16	1725
61	Grecja	Kreta	Lodz	2015-06-27	2015-07-11	3350
62	Bulgaria	Sloneczny Brzeg	Gdansk	2015-07-03	2015-07-13	1470
63	Hiszpania	Fuerteventura	Poznan	2015-07-01	2015-07-12	2770
64	Bulgaria	Sloneczny Brzeg	Krakow	2015-07-02	2015-07-09	1110
65	Grecja	Kreta	Krakow	2015-06-30	2015-07-14	3350
66	Egipt	Marsa Alam	Katowice	2015-08-12	2015-08-22	2955
67	Tunezja	Sousse	Poznan	2015-08-01	2015-08-15	1899
68	Hiszpania	Majorka	Katowice	2015-07-27	2015-08-03	2350
69	Turcja	Side	Warszawa	2015-07-10	2015-07-17	1260
70	Maroko	Agadir	Poznan	2015-06-21	2015-06-28	2125
71	Grecja	Kreta	Gdansk	2015-07-05	2015-07-12	2150
72	Maroko	Casablanca	Warszawa	2015-07-03	2015-07-10	1925
73	Maroko	Casablanca	Wroclaw	2015-07-06	2015-07-20	3349
74	Egipt	Hurgada	Poznan	2015-07-03	2015-07-10	1520
75	Bulgaria	Sloneczny Brzeg	Krakow	2015-07-02	2015-07-12	1470
76	Tunezja	Mahdia	Lodz	2015-07-08	2015-07-15	1370
77	Hiszpania	Gran Canaria	Gdansk	2015-07-01	2015-07-08	1999
78	Maroko	Casablanca	Warszawa	2015-07-10	2015-07-24	3349
79	Turcja	Alanya	Gdansk	2015-06-22	2015-06-29	976
80	Maroko	Agadir	Wroclaw	2015-06-15	2015-06-22	2125
